Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   ID:2 R2 (X)                   ID:2 R2 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:6 R4 (X)                   ID:6 R4 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
13:17:05.603                  3.5969                        -0.4279                       5.5095                        0.6449                        -1.5398                       -17.5488                      1.7594                        -0.5348                       0.4674                        -1.7488                       0.6709                        -3.6347                       0                             0.3                           
13:17:05.873                  3.5964                        -0.4279                       5.5092                        0.6449                        -1.5392                       -17.5495                      1.7591                        -0.5342                       0.4673                        -1.7484                       0.6704                        -3.634                        0                             0.3                           
13:17:06.153                  3.5967                        -0.4277                       5.5086                        0.645                         -1.5386                       -17.5504                      1.759                         -0.5336                       0.4673                        -1.7483                       0.6703                        -3.6333                       0                             0.3                           
13:17:06.433                  3.5971                        -0.4277                       5.5082                        0.6449                        -1.5383                       -17.5508                      1.7591                        -0.5334                       0.4673                        -1.7487                       0.6704                        -3.6333                       0                             0.3                           
13:17:06.713                  3.5976                        -0.4283                       5.5087                        0.6449                        -1.5383                       -17.5504                      1.7593                        -0.5337                       0.467                         -1.7492                       0.6706                        -3.6339                       0                             0.3                           
13:17:06.982                  3.5976                        -0.4293                       5.5091                        0.645                         -1.5387                       -17.5495                      1.7595                        -0.5338                       0.4668                        -1.749                        0.6705                        -3.6342                       0                             0.299                         
13:17:07.272                  3.597                         -0.4295                       5.5088                        0.6448                        -1.5391                       -17.5492                      1.7597                        -0.5336                       0.4669                        -1.7485                       0.6702                        -3.6345                       0                             0.3                           
13:17:07.542                  3.5962                        -0.4292                       5.5087                        0.6445                        -1.5391                       -17.5492                      1.7599                        -0.5337                       0.4671                        -1.7479                       0.6699                        -3.6347                       0                             0.299                         
13:17:07.812                  3.5963                        -0.4284                       5.509                         0.6441                        -1.5384                       -17.5493                      1.7599                        -0.5339                       0.4674                        -1.7477                       0.6701                        -3.6342                       0                             0.3                           
13:17:08.102                  3.5969                        -0.4284                       5.5096                        0.6448                        -1.538                        -17.549                       1.7593                        -0.534                        0.4672                        -1.7478                       0.6707                        -3.6335                       0                             0.3                           
