Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
12:50:59.862                  6.1551                        1.048                         -1.5401                       -17.6219                      0.9057                        -17.3112                      0.2443                        -42.9637                      0                             0.3                           
12:51:00.072                  6.154                         1.0478                        -1.5407                       -17.6217                      0.9058                        -17.311                       0.2497                        -42.9598                      0                             0.3                           
12:51:00.262                  6.1534                        1.0474                        -1.541                        -17.6214                      0.9062                        -17.311                       0.2554                        -42.9562                      0                             0.3                           
12:51:00.462                  6.1527                        1.0471                        -1.5408                       -17.6211                      0.9065                        -17.311                       0.2601                        -42.9535                      0                             0.3                           
12:51:00.662                  6.152                         1.0466                        -1.5404                       -17.621                       0.9064                        -17.3112                      0.2648                        -42.9503                      0                             0.3                           
12:51:00.872                  6.1512                        1.0459                        -1.5399                       -17.6212                      0.9061                        -17.3116                      0.2692                        -42.947                       0                             0.3                           
12:51:01.092                  6.1511                        1.0452                        -1.5394                       -17.6217                      0.9059                        -17.3122                      0.2739                        -42.9426                      0                             0.3                           
12:51:01.322                  6.1511                        1.0447                        -1.5393                       -17.6222                      0.9058                        -17.3126                      0.2787                        -42.9387                      0                             0.3                           
12:51:01.542                  6.151                         1.0445                        -1.5397                       -17.622                       0.9059                        -17.3124                      0.2838                        -42.935                       0                             0.3                           
12:51:01.770                  6.1502                        1.0445                        -1.5402                       -17.6216                      0.9058                        -17.312                       0.2893                        -42.9316                      0                             0.3                           
12:51:01.978                  6.1494                        1.0442                        -1.5401                       -17.6213                      0.9057                        -17.3117                      0.294                         -42.9282                      0                             0.3                           
12:51:02.202                  6.1487                        1.0439                        -1.5395                       -17.6214                      0.9055                        -17.312                       0.3                           -42.9241                      0                             0.3                           
12:51:02.427                  6.1479                        1.0436                        -1.539                        -17.6214                      0.9053                        -17.3126                      0.3062                        -42.9201                      0                             0.3                           
12:51:02.651                  6.147                         1.0438                        -1.5393                       -17.6214                      0.9053                        -17.3129                      0.3125                        -42.9164                      0                             0.3                           
12:51:02.875                  6.1465                        1.0438                        -1.5399                       -17.6216                      0.9055                        -17.3127                      0.3184                        -42.9125                      0                             0.3                           
12:51:03.083                  6.1461                        1.0435                        -1.5401                       -17.6222                      0.9058                        -17.3122                      0.3237                        -42.9085                      0                             0.3                           
12:51:03.307                  6.1453                        1.0422                        -1.54                         -17.6224                      0.9061                        -17.312                       0.3279                        -42.905                       0                             0.3                           
12:51:03.531                  6.144                         1.0413                        -1.5399                       -17.6219                      0.906                         -17.3121                      0.333                         -42.9014                      0                             0.3                           
12:51:03.755                  6.1432                        1.0407                        -1.5402                       -17.621                       0.906                         -17.3125                      0.3384                        -42.8981                      0                             0.3                           
12:51:03.978                  6.143                         1.0408                        -1.5399                       -17.6205                      0.906                         -17.3126                      0.3439                        -42.8948                      0                             0.3                           
12:51:04.181                  6.1432                        1.0408                        -1.5392                       -17.6207                      0.9063                        -17.3125                      0.3486                        -42.8916                      0                             0.3                           
12:51:04.411                  6.1429                        1.0403                        -1.5385                       -17.6209                      0.9065                        -17.3122                      0.3522                        -42.8887                      0                             0.3                           
12:51:04.635                  6.1423                        1.0396                        -1.5383                       -17.6211                      0.9064                        -17.3121                      0.3562                        -42.8853                      0                             0.3                           
12:51:04.860                  6.1412                        1.0388                        -1.5389                       -17.6214                      0.906                         -17.312                       0.361                         -42.8822                      0                             0.3                           
12:51:05.069                  6.1404                        1.0384                        -1.5396                       -17.6216                      0.9057                        -17.3121                      0.3663                        -42.8792                      0                             0.3                           
12:51:05.324                  6.1397                        1.038                         -1.5401                       -17.6218                      0.9056                        -17.3124                      0.3718                        -42.8761                      0                             0.3                           
12:51:05.545                  6.1391                        1.038                         -1.5401                       -17.6216                      0.9057                        -17.3127                      0.3778                        -42.8717                      0                             0.3                           
12:51:05.771                  6.1385                        1.0378                        -1.5394                       -17.621                       0.9056                        -17.3126                      0.3832                        -42.8677                      0                             0.3                           
12:51:05.978                  6.1379                        1.0374                        -1.5387                       -17.6202                      0.9053                        -17.3124                      0.3886                        -42.8639                      0                             0.3                           
12:51:06.163                  6.1373                        1.0368                        -1.5382                       -17.6197                      0.9054                        -17.3122                      0.393                         -42.8606                      0                             0.3                           
12:51:06.353                  6.137                         1.0364                        -1.5382                       -17.6194                      0.9056                        -17.3122                      0.3969                        -42.8574                      0                             0.3                           
12:51:06.554                  6.1369                        1.0359                        -1.5383                       -17.6191                      0.9061                        -17.3122                      0.4006                        -42.8542                      0                             0.3                           
12:51:06.740                  6.1368                        1.0354                        -1.5384                       -17.6191                      0.9067                        -17.3119                      0.4046                        -42.8512                      0                             0.3                           
12:51:06.954                  6.1362                        1.0352                        -1.5384                       -17.6192                      0.907                         -17.3116                      0.409                         -42.8484                      0                             0.3                           
12:51:07.161                  6.1352                        1.0352                        -1.5385                       -17.6196                      0.9071                        -17.3111                      0.4135                        -42.8457                      0                             0.3                           
12:51:07.385                  6.1341                        1.0353                        -1.5385                       -17.6198                      0.9069                        -17.3108                      0.4191                        -42.8425                      0                             0.3                           
12:51:07.609                  6.1332                        1.035                         -1.5385                       -17.62                        0.9068                        -17.3108                      0.4249                        -42.839                       0                             0.3                           
12:51:07.834                  6.1327                        1.0344                        -1.5382                       -17.6202                      0.9067                        -17.311                       0.431                         -42.8352                      0                             0.3                           
12:51:08.042                  6.1325                        1.0335                        -1.5382                       -17.6206                      0.9068                        -17.3111                      0.437                         -42.831                       0                             0.3                           
12:51:08.250                  6.1322                        1.0327                        -1.5385                       -17.621                       0.9066                        -17.3111                      0.4419                        -42.8278                      0                             0.3                           
12:51:08.452                  6.1318                        1.032                         -1.5391                       -17.6216                      0.9063                        -17.311                       0.4472                        -42.8245                      0                             0.3                           
12:51:08.672                  6.1314                        1.0315                        -1.5394                       -17.6217                      0.9061                        -17.3109                      0.4518                        -42.8218                      0                             0.3                           
12:51:08.905                  6.1304                        1.031                         -1.5392                       -17.6215                      0.9061                        -17.3111                      0.4572                        -42.8184                      0                             0.3                           
12:51:09.128                  6.1293                        1.0308                        -1.5385                       -17.621                       0.9062                        -17.3117                      0.4627                        -42.8148                      0                             0.3                           
12:51:09.336                  6.1281                        1.0309                        -1.5381                       -17.6204                      0.9062                        -17.3127                      0.468                         -42.8109                      0                             0.3                           
12:51:09.536                  6.1272                        1.0308                        -1.5382                       -17.6201                      0.9058                        -17.3135                      0.4724                        -42.8077                      0                             0.3                           
12:51:09.752                  6.1264                        1.0306                        -1.5387                       -17.6202                      0.905                         -17.3139                      0.4772                        -42.8037                      0                             0.3                           
12:51:09.977                  6.1255                        1.0302                        -1.5388                       -17.6206                      0.9044                        -17.314                       0.4814                        -42.8006                      0                             0.3                           
