Specimen_AllReader_Record19 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     R3 T (N��m),                  ID:4 R4 (X)                   ID:4 R4 (Y)                   ID:6 R5 (X)                   ID:6 R5 (Y)                   ID:7 R6 (X)                   ID:7 R6 (Y)                   ID:8 R7 (X)                   ID:8 R7 (Y)                   ID:2 R8 (X)                   ID:2 R8 (Y)                   
14:39:27.037                  1.5959                        -0.198                        0.298                         0                             -1.6548                       -16.8595                      1.6                           -2.2542                       0.5078                        -1.6563                       0.6766                        -3.5157                       2.7815                        0.7248                        
14:39:27.312                  1.5952                        -0.1987                       0.298                         0                             -1.6549                       -16.8596                      1.5996                        -2.2544                       0.5078                        -1.6573                       0.6761                        -3.516                        2.7814                        0.725                         
14:39:27.598                  1.5949                        -0.2001                       0.298                         0                             -1.6547                       -16.8591                      1.5994                        -2.2546                       0.508                         -1.6579                       0.6757                        -3.5165                       2.7813                        0.7255                        
14:39:27.867                  1.5944                        -0.2012                       0.299                         0                             -1.6543                       -16.8589                      1.5996                        -2.2549                       0.5087                        -1.6574                       0.6761                        -3.5163                       2.7812                        0.7256                        
14:39:28.137                  1.5943                        -0.2012                       0.299                         0                             -1.6543                       -16.8592                      1.5997                        -2.2551                       0.5093                        -1.6567                       0.6768                        -3.5156                       2.7814                        0.7252                        
14:39:28.457                  1.5943                        -0.2009                       0.298                         0                             -1.6545                       -16.8596                      1.5997                        -2.2549                       0.5089                        -1.6568                       0.6773                        -3.5146                       2.7819                        0.7247                        
14:39:28.729                  1.5948                        -0.2007                       0.299                         0                             -1.6547                       -16.8597                      1.5999                        -2.2546                       0.5082                        -1.657                        0.6771                        -3.5143                       2.782                         0.7245                        
14:39:29.002                  1.5952                        -0.2007                       0.298                         0                             -1.6546                       -16.8591                      1.6                           -2.2546                       0.5079                        -1.6571                       0.6769                        -3.5141                       2.7817                        0.7248                        
14:39:29.272                  1.5954                        -0.2005                       0.299                         0                             -1.6544                       -16.8588                      1.6                           -2.2554                       0.5083                        -1.6569                       0.6767                        -3.5145                       2.7814                        0.7252                        
14:39:29.563                  1.5957                        -0.2003                       0.299                         0                             -1.6543                       -16.8594                      1.6001                        -2.2556                       0.5085                        -1.6567                       0.6763                        -3.515                        2.7815                        0.7253                        
14:39:29.835                  1.5958                        -0.2008                       0.299                         0                             -1.6538                       -16.86                        1.5996                        -2.2551                       0.5082                        -1.6563                       0.6762                        -3.515                        2.7817                        0.7252                        
14:39:30.106                  1.596                         -0.2015                       0.298                         0                             -1.6534                       -16.8601                      1.5989                        -2.2549                       0.5079                        -1.6558                       0.6759                        -3.5146                       2.7815                        0.7249                        
14:39:30.395                  1.596                         -0.2016                       0.299                         0                             -1.6534                       -16.8605                      1.5986                        -2.2554                       0.5077                        -1.656                        0.6757                        -3.5146                       2.7809                        0.725                         
14:39:30.667                  1.5959                        -0.2011                       0.299                         0                             -1.6536                       -16.8606                      1.599                         -2.2561                       0.5081                        -1.6561                       0.6759                        -3.5148                       2.7807                        0.7251                        
14:39:30.951                  1.5958                        -0.2005                       0.298                         0                             -1.654                        -16.8601                      1.5996                        -2.2565                       0.5084                        -1.6559                       0.6763                        -3.5148                       2.7809                        0.7247                        
14:39:31.224                  1.5955                        -0.2004                       0.299                         0                             -1.6544                       -16.8596                      1.6001                        -2.2562                       0.5084                        -1.6554                       0.6762                        -3.5148                       2.7807                        0.7249                        
14:39:31.496                  1.595                         -0.2006                       0.298                         0                             -1.6543                       -16.8596                      1.6007                        -2.2554                       0.5082                        -1.6552                       0.6761                        -3.5146                       2.7804                        0.7255                        
14:39:31.787                  1.5949                        -0.2007                       0.299                         0                             -1.6542                       -16.8598                      1.6005                        -2.2548                       0.5078                        -1.6561                       0.6764                        -3.514                        2.7803                        0.726                         
14:39:32.056                  1.5952                        -0.2006                       0.299                         0                             -1.6544                       -16.8598                      1.6                           -2.2551                       0.5077                        -1.6568                       0.6769                        -3.5135                       2.7805                        0.7259                        
14:39:32.329                  1.5955                        -0.2002                       0.299                         0                             -1.6549                       -16.8596                      1.5992                        -2.2558                       0.5081                        -1.6571                       0.6778                        -3.5134                       2.7807                        0.7256                        
14:39:32.619                  1.5959                        -0.2004                       0.299                         0                             -1.6549                       -16.8597                      1.599                         -2.2565                       0.5089                        -1.657                        0.678                         -3.5139                       2.7806                        0.725                         
14:39:32.894                  1.5962                        -0.2011                       0.298                         0                             -1.6543                       -16.8597                      1.5991                        -2.2566                       0.5088                        -1.657                        0.6777                        -3.5148                       2.7805                        0.7248                        
14:39:33.162                  1.5959                        -0.2011                       0.299                         0                             -1.6541                       -16.8598                      1.5992                        -2.2567                       0.5082                        -1.657                        0.6774                        -3.5153                       2.7807                        0.7248                        
14:39:33.446                  1.5946                        -0.2001                       0.299                         0                             -1.6543                       -16.8601                      1.5989                        -2.2564                       0.508                         -1.6573                       0.6775                        -3.5155                       2.7807                        0.7246                        
14:39:33.725                  1.5936                        -0.1995                       0.298                         0                             -1.6546                       -16.8603                      1.5989                        -2.2557                       0.5082                        -1.6576                       0.6774                        -3.5155                       2.7804                        0.7244                        
14:39:33.997                  1.5936                        -0.2                          0.298                         0                             -1.6547                       -16.86                        1.5995                        -2.2551                       0.5084                        -1.6574                       0.6768                        -3.5155                       2.7796                        0.7244                        
14:39:34.281                  1.5938                        -0.2003                       0.298                         0                             -1.6549                       -16.8598                      1.5994                        -2.2549                       0.5089                        -1.6574                       0.6762                        -3.5152                       2.7789                        0.7245                        
14:39:34.553                  1.5943                        -0.2004                       0.299                         0                             -1.6549                       -16.8603                      1.599                         -2.2552                       0.5089                        -1.6573                       0.6761                        -3.5145                       2.7791                        0.7245                        
